time/iterations,time/total_timesteps,time/time_elapsed,train/reward,time/fps,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/learning_rate
1,2048,17,1.3918525,117,,,,,,,,,,,
2,4096,37,0.7081147,110,10,0.21796875,-0.026396916128578595,1.0005680322647095,16.14040736556053,-41.1567700624466,0.01594992,0.00696253776550293,5.608668327331543,0.2,0.00025
3,6144,56,-8.329201,107,20,0.156298828125,-0.015903426977456548,1.0024975538253784,111.42267198562622,-41.195928478240965,0.016220983,0.006490528583526611,62.09928894042969,0.2,0.00025
4,8192,77,-1.9553528,106,30,0.212255859375,-0.024152767099440097,1.0036009550094604,22.426430332660676,-41.23817417621613,0.01740672,-0.0006198883056640625,7.260695934295654,0.2,0.00025
5,10240,93,-4.792678,109,40,0.20009765625,-0.021540688496315852,1.0042649507522583,79.21996076107025,-41.26040632724762,0.022376355,-0.0004942417144775391,27.987083435058594,0.2,0.00025
6,12288,109,2.1430545,112,50,0.207177734375,-0.013541740250366275,1.0064204931259155,73.55874645709991,-41.29712796211243,0.018076539,-0.003461599349975586,28.933523178100586,0.2,0.00025
7,14336,123,8.079665,115,60,0.239208984375,-0.020261756685795263,1.0084142684936523,64.21629166603088,-41.36044065952301,0.022606121,0.009812653064727783,28.51063346862793,0.2,0.00025
8,16384,138,3.7070138,117,70,0.16064453125,-0.012891922917333432,1.00885009765625,90.01295228004456,-41.39904341697693,0.024151675,-0.004525661468505859,33.85453796386719,0.2,0.00025
9,18432,153,0.97040105,119,80,0.203076171875,-0.023057032393990085,1.011252999305725,47.16536728143692,-41.43077681064606,0.02237602,0.0018956661224365234,26.059595108032227,0.2,0.00025
10,20480,168,1.3946095,121,90,0.173291015625,-0.018078239685564768,1.012324571609497,96.6975802898407,-41.486057829856875,0.017355997,0.007696390151977539,38.05942916870117,0.2,0.00025
11,22528,183,-0.1985488,122,100,0.20908203125,-0.019874107354553416,1.0137529373168945,17.34129734635353,-41.521952509880066,0.019479288,-0.03759455680847168,8.615047454833984,0.2,0.00025
